Asset Tag,Model,Serial,Username,Active Directory Last Logon,Success
C09922,Latitude 3400,2ZD8DT2,jmg07011,2/10/2020 4:18:25 PM,Success
W55418,iMac,D25GV00HDHJW,kmf14002,4/8/2019 10:58:46 PM,Success
C09925,Optiplex 7010,149TX12,gmw02002,1/25/2020 7:07:08 AM,Success
C09763,ThinkCentre M625q,MJ08MR9S,mcb01006,2/4/2020 11:56:26 AM,Success
C09723,ThinkCentre M625q,MJ08ND9M,mcb01006,1/31/2020 10:19:59 AM,Success
D00319,Latitude E6440,G9SHR32,bab03006,2/6/2020 5:03:50 PM,Success
D07523,Optiplex 7060,39qf3w2,kdm02006,2/9/2020 11:44:21 PM,Success
D07349,Optiplex 7060,h0f83w2,sav07011,2/9/2020 7:10:40 AM,Success
C09926,Optiplex 9020,1JV3W52,hjv02003,2/9/2020 4:38:55 AM,Success
C04236,Latitude E7270,9X2R2G2,nam02011,2/5/2020 3:08:44 PM,Success
D07013,Latitude 5491,HN1BST2,nam02011,1/2/2020 11:19:27 AM,Success
D07014,Latitude 5491,3Q49ST2,nam02011,2/7/2020 1:18:23 PM,Success
C09927,Optiplex 7010,8N1YXV1,jah14021,1/28/2020 3:14:44 PM,Success
D03262,Latitude E7470,73W2H2,,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
W63568,Optiplex 9010,12YLCZ1,,5/3/2019 9:48:46 AM,Success
D07060,Optiplex 7060,6B3MDV2,emb15102,2/10/2020 12:02:30 AM,Success
C09928,Latitude E7440,1F3JXZ1,wkr15101,1/2/2020 10:49:36 AM,Success
W61186,MacBook Pro A1502,C02N91ZPG3QK,rio02001,2/4/2020 5:11:36 PM,Success
W65128,Surface Pro,034612551553,wkr15101,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
W65127,Surface Pro,034786751553,wkr15101,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
W65129,Surface Pro,034541451553,wkr15101,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C09930,Surface Pro,034144551753,wkr15101,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C09929,Surface Pro,034827451753,wkr15101,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C03342,MacBook Pro A1708,C02SG8LXGY25,miw17019,5/3/2019 9:47:14 AM,Success
D07392,Optiplex 7060,2Z3X2W2,dto02002,2/9/2020 8:40:38 AM,Success
D07390,Optiplex 7060,2Z323W2,vhl02001,2/8/2020 12:35:53 PM,Success
D07391,Optiplex 7060,2Z3W2W2,vhl02001,2/6/2020 3:37:23 PM,Success
C09931,iMac,C02YJ0NGJV3X,vhl02001,2/11/2020 1:18:38 AM,Success
D07395,Latitude 7490,9QJKNV2,lml02001,2/10/2020 9:35:39 PM,Success
D07407,Latitude 7490,GGHGNV2,srd01002,2/9/2020 3:47:46 PM,Success
D07393,Optiplex 7060,2Z3Y2W2,agb00001,2/9/2020 10:14:30 PM,Success
D07394,Latitude 7490,49JKNV2,mdf00002,2/5/2020 2:03:07 PM,Success
D07172,Optiplex 7060,H0C73W2,cdr02001,2/9/2020 10:44:56 PM,Success
D07173,Optiplex 7060,H0C83W2,cdr02001,2/9/2020 3:58:05 PM,Success
D07524,Latitude 7490,BJDTNV2,lmj02003,2/7/2020 2:32:09 PM,Success
D07529,Optiplex 7060,BQVF3W2,nra16101,2/7/2020 2:06:06 PM,Success
C09932,Surface Pro,SP036678551753,cep08015,1/30/2020 1:32:46 PM,Success
D00288,Optiplex 7020,3JQDF42,vlr02001,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D07540,Optiplex 7060,FXQH3W2,ajg96002,2/9/2020 1:17:05 PM,Success
D04409,Optiplex 7050,7FPLXM2,jmf13010,10/10/2019 10:28:42 PM,Success
D02169,Optiplex 7040,DJTYHB2,,2/9/2020 8:36:16 PM,Success
D07544,Latitude 7490,CB45PV2,lah17005,1/23/2020 3:03:45 PM,Success
D07543,Latitude 7490,6C45PV2,eas18003,12/5/2019 7:59:20 AM,Success
D02252,Optiplex 7040,5CWNJB2,nmr16101,2/9/2020 8:54:38 PM,Success
D07578,Optiplex 7060,85M7DW2,clc02011,2/8/2020 4:52:56 AM,Success
C09934,Optiplex 9020,1358P22,sms05006,2/10/2020 3:21:07 PM,Success
C09933,XPS 13 9360,4y3p2g2,alw02009,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
W62578,Optiplex 7010,6642Z12,als03013,1/20/2020 7:16:15 AM,Success
D07348,Latitude 5590,F77HMV2,,2/7/2020 3:00:22 AM,Success
D07536,Latitude 5290,DKQ2PV2,mar05011,12/6/2019 4:19:01 PM,Success
W58499,Macbook Pro A1398,C02KN0H9FFT3,rjc02013,2/9/2020 4:35:15 AM,Success
W63703,Macbook Pro A1398,C02NW0W6G3QN,rjc02013,10/24/2019 2:45:10 AM,Success
C07917,MacBook Pro A1708,FVFXD3QWHV22,nra16101,2/6/2020 4:38:00 PM,Success
C09849,MacBook Pro A1989,C02Y46G5JHC8,jmp03005,2/7/2020 7:12:22 PM,Success
D07542,Latitude 7490,3D45PV2,css98001,2/10/2020 8:31:53 PM,Success
C09843, Mac Mini A1993,C07YM1LQJYW0,dsb00001,2/10/2020 8:39:49 PM,Success
D07537,Latitude 5290,5843PV2,rmg03003,6/15/2019 6:39:02 PM,Success
D07538,Latitude 5290,5VY1PV2,kag10019,2/3/2020 1:19:22 PM,Success
D07512,Latitude 7390,JDCLNV2,mjs02018,1/22/2020 6:19:20 PM,Success
c09844, Mac Mini A1993,C07YM1L7JYW0,dsb00001,2/6/2020 12:39:54 PM,Success
D02416,E7270,4KXTMC2,paf19002,2/10/2020 5:54:41 AM,Success
D05103,Optiplex 7050,4JSVCP2,ajg96002,10/9/2019 11:37:24 PM,Success
W64316,Latitude E6440,JS02N32,,2/5/2020 8:38:01 PM,Success
D00230,Optiplex 7020,D4PLD42,mag07021,1/29/2020 10:03:07 PM,Success
D07487,Latitude 7390,7X5YNV2,gaa14002,1/26/2020 8:32:11 PM,Success
C09935,Optiplex 7010,2NTGM02,,1/28/2020 7:01:23 PM,Success
C09936,Optiplex 9020,1JM2W52,osk18001,10/16/2019 10:44:44 AM,Success
C09937,Latitude E5430,14vwjx1,jem06014,10/31/2019 2:33:38 PM,Success
C09938,Latitude E5430,hwtwjx1,jem06014,10/21/2019 8:56:41 AM,Success
C09939,Latitude E5430,fwxwjx1,jem06014,9/12/2019 11:53:04 AM,Success
C09940,Latitude E5430,7xtwjx1,jem06014,6/14/2019 3:41:35 PM,Success
C09941,XPS 13 9380,HDZ1TT2,alw02009,2/10/2020 11:05:44 PM,Success
D00368,Optiplex 7020,5FB6R52,gsg02003,1/27/2020 5:03:09 PM,Success
W51530,Optiplex 980,H9CYNM1,sjh14007,8/9/2019 11:13:43 AM,Success
D07633,Latitude 3590,16BLTW2,cgc08002,2/5/2020 5:16:10 PM,Success
D07632,Latitude 3590,FSYKTW2,gdm00001,2/6/2020 8:48:57 PM,Success
D07634,Latitude 3590,6XYKTW2,elr19007,2/7/2020 1:09:13 AM,Success
D07585,Latitude 7490,J9SVPV2,mjo02005,2/10/2020 12:55:47 PM,Success
S0053828,Optiplex 9020,1V9XB42,osk18001,2/8/2020 2:41:08 PM,Success
D07582,Optiplex 7060,FJS7DW2,kmk11003,2/8/2020 8:51:42 AM,Success
C09943,Latitude 5400,CS3WPV2,ttc19001,2/10/2020 1:12:07 PM,Success
C09866,MacBook Pro A1708,FVFYN0RUHV2F,rvm02001,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
W57837,Macbook Pro A1278,C02JK16KDV31,sks10008,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
d07669,Optiplex 7060,BPWRDW2,law15001,2/9/2020 1:16:06 PM,Success
C05936,Latitude 3580,6RMHPJ2,edf02001,1/29/2020 3:57:58 AM,Success
C09944,Optiplex 7010,1021Z12,,8/14/2019 10:10:29 AM,Success
D07701,Optiplex 7060,F5WQDW2,jjh02008,2/7/2020 5:52:28 PM,Success
D07670,Optiplex 7060,GSVNDW2,jpc95002,2/10/2020 1:17:05 AM,Success
D07513,Latitude 7390,5GCLNV2,sem19009,1/26/2020 9:42:51 PM,Success
D07511,Latitude 7390,G2DLNV2,jmp14011,1/24/2020 3:44:51 PM,Success
D07586,Latitude 7490,B5HVPV2,krs19006,2/10/2020 3:57:08 PM,Success
D07588,Optiplex 7060,G79QDW2,kmf14002,10/9/2019 12:09:04 AM,Success
C09945,Optiplex 9020,55WT942,ccz03001,2/10/2020 3:22:48 PM,Success
C09864,MacBook Pro A1708,FVFX24PCHV29,gdm02002,2/5/2020 11:14:47 AM,Success
W65130,Surface Pro,024171651553,bnw12002,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D07587,Latitude 7490,4XKNPV2,rar19015,2/11/2020 12:03:52 AM,Success
C09946,Latitude 5500,C48DPV2,,1/22/2020 10:02:27 AM,Success
W65137,Surface Pro,006310451553,pjm02012,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D01263,Optiplex 7040,6C32GB2,rbk02002,5/23/2019 10:27:54 AM,Success
D01272,Optiplex 7040,6C42GB2,rbk02002,5/23/2019 10:13:23 AM,Success
D05175,Latitude 5580,GVWCTN2,sug10001,1/31/2020 8:31:31 AM,Success
D07705,Latitude 7390,6T9JRV2,prf07001,12/31/1600 7:00:00 PM,Success
C04964,Optiplex 7050,38HKGK2,mau09005,10/10/2019 10:23:05 PM,Success
D07782,Latitude 5290,1STLRV2,sus08006,5/24/2019 2:54:54 PM,Success
D07781,Latitude 5290,CPTLRV2,cjd04004,2/6/2020 10:38:52 PM,Success
C09947,Optiplex 7010,1MKJCX1,dlf06003,1/21/2020 11:51:05 AM,Success
C09948,Optiplex 7010,8N33YV1,jmp03005,11/22/2019 8:48:03 AM,Success
D01232,Optiplex 7040,6BZVFB2,ajs98003,2/10/2020 7:05:58 PM,Success
D01279,Optiplex 7040,6C50GB2,vpe02002,2/10/2020 2:40:37 PM,Success
W59981,Latitude E6430,2JL7XY1,,1/21/2020 9:05:12 AM,Success
D01275,Optiplex 7040,6C4WFB2,nem10005,2/11/2020 12:17:52 AM,Success
D01200,Optiplex 7040,6BW3GB2,lel02005,2/5/2020 12:30:58 AM,Success
D07583,Latitude 7490,DYGVPV2,dda19003,2/6/2020 8:39:24 AM,Success
C09949,Precision 3620,GRY5FW2,grs18006,11/11/2019 1:42:58 PM,Success
C10602, Mac Mini A1993,C07YQ1JDJYW0,alp11007,2/10/2020 9:57:40 AM,Success
C10603, Mac Mini A1993,C07YQ112JYW0,alp11007,2/11/2020 12:01:37 AM,Success
D00276,Optiplex 7020,CD14942,pap02008,1/29/2020 4:53:21 AM,Success
C10604, Mac Mini A1993,C07YQ110JYW0,alp11007,2/10/2020 3:01:12 AM,Success
D01288,Optiplex 7040,6C60GB2,lin18003,2/10/2020 11:00:55 PM,Success
D00792,Optiplex 9020,2JF1382,bal15101,2/9/2020 9:38:02 AM,Success
C06654,Surface Pro,036399551753,dmf06005,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D00309,Optiplex 7020,CVQNG42,anp05007,1/28/2020 7:47:46 PM,Success
D01289,Optiplex 7040,6C61GB2,ckc08001,2/10/2020 7:11:11 AM,Success
C00040,iMac,C17MX2QZFY0T,kas02015,2/11/2020 1:52:29 AM,Success
D00787,Optiplex 9020,6V4S282,rof15102,2/11/2020 1:03:29 AM,Success
D01227,Optiplex 7040,6BZ0GB2,jls02021,2/10/2020 5:33:49 PM,Success
C09950,Latitude 7490,3WH8QV2,ffz04001,2/7/2020 3:16:03 PM,Success
D01066,Latitude E6440,4JLKFB2,nra16101,6/5/2019 6:45:10 AM,Success
W64686,Latitude E6440,C02PD31VF8J2,nra16101,12/31/1600 7:00:00 PM,Success
D01060,Latitude E6440,4JKLFB2,nra16101,2/5/2020 1:02:31 PM,Success
D05884,Optiplex 7060,GTG6GQ2,,2/9/2020 7:11:01 PM,Success
D06035,Optiplex 7060,57C8KQ2,,2/9/2020 1:35:16 AM,Success
C09951,Optiplex 7060,FVXB3W2,jpc95002,2/8/2020 2:57:06 PM,Success
D00273,Optiplex 7020,CCL2942,pap02008,1/30/2020 1:23:21 AM,Success
D02262,Optiplex 7040,GRC0KB2,gmw02002,2/10/2020 11:26:26 PM,Success
D07818,Latitude 7490,DMZZYW2,bsr19004,2/5/2020 2:26:30 PM,Success
W58252,Latitude E6430,3GYKYW1,ccz03001,2/5/2020 11:28:35 AM,Success
C10562,"Macbook Air A1465 (11"")",FVFYK0WPJK7C,ses08009,1/18/2020 1:30:55 PM,Success
C10563,"Macbook Air A1465 (11"")",FVFYK0K0JK7C,ses08009,1/10/2020 2:18:42 PM,Success
C10564,"Macbook Air A1465 (11"")",FVFYK0H8JK7C,ses08009,1/21/2020 1:00:11 AM,Success
C10565,"Macbook Air A1465 (11"")",FVFYK08JJK7C,ses08009,12/2/2019 1:57:51 PM,Success
C10570,Surface Pro 6,05654490353,ses08009,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C10571,Surface Pro 6,056544490353,ses08009,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C10572,Surface Pro 6,056484190353,ses08009,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C10573,Surface Pro 6,056515690353,ses08009,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C10568,ThinkPad x260,PF1P25Y0,ses08009,,Success
C10569,ThinkPad x260,PF1P25X3,ses08009,,Success
C10566,iMac,C02YP14AJB3X,ses08009,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C10567,iMac,C02YP18EJV3X,ses08009,2/10/2020 11:36:15 PM,Success
C09952,Optiplex 9020,CQDZQ22,,2/7/2020 3:56:15 PM,Success
W63118,Latitude E6440,FDX1M12,edf02001,2/6/2020 4:48:08 AM,Success
D04621,Optiplex 7050,7JC9MN2,jar12025,10/9/2019 3:02:04 PM,Success
D05052,Latitude 5580,FHLYQN2,chn19011,2/6/2020 2:59:44 PM,Success
D07784,Latitude 7490,6SH0RV2,pms04001,2/7/2020 12:27:38 AM,Success
C09954,Latitude 5580,3Q1G8H2,mam19026,2/6/2020 2:53:23 PM,Success
D00364,Optiplex 7020,5F9HF42,rab02016,1/29/2020 1:25:34 PM,Success
C09955,Optiplex 7010,8N43YV1,shg02002,9/23/2019 3:31:40 AM,Success
C09956,Surface Pro 4,SP045159483053,jsh03001,7/11/2019 10:18:12 AM,Success
D00277,Optiplex 7020,CCW4942,pap02008,1/29/2020 3:16:19 AM,Success
D00279,Optiplex 7020,CCP5942,pap02008,6/7/2019 1:15:38 PM,Success
D00783,Latitude 7450,DKH5G72,tlo02001,2/10/2020 11:12:54 PM,Success
D00679,Optiplex 9020,GZ2S182,mjm99007,2/10/2020 1:22:07 PM,Success
C09957,Optiplex 7010,5YP2V12,slm10008,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C09958,XPS 13 9350,BV5HZW2,grs18006,1/16/2020 12:33:43 PM,Success
D07849,Optiplex 7060,GJ9R7X2,grs18006,2/8/2020 8:36:38 PM,Success
D01278,Optiplex 7040,6C4ZFB2,cbb12002,2/10/2020 10:22:18 PM,Success
D02259,Latitude E7270,FRZQGC2,daw02008,2/5/2020 3:20:10 PM,Success
D03320,Latitude 7480,843D3G2,jtk17003,2/11/2020 12:30:16 AM,Success
D01201,Optiplex 7040,6BW4GB2,cbb12002,2/7/2020 4:10:44 PM,Success
D01255,Optiplex 7040,6C24GB2,cbb12002,2/11/2020 1:02:32 AM,Success
C09714,"Macbook Air A1932 (13"")",FVHXR3U7JK77,djc02009,2/10/2020 1:58:56 AM,Success
C09715,"Macbook Air A1932 (13"")",FVFXRVGQJK77,djc02009,2/10/2020 12:02:55 AM,Success
C09726,Microsoft Surface Laptop,00178143757,djc02009,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C09727,Microsoft Surface Laptop,001861583757,djc02009,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D04612,Optiplex 7050,7JBCMN2,coe16101,10/10/2019 5:15:58 PM,Success
C09959,Latitude 7440,4SQCD12,sar11012,6/11/2019 7:53:14 AM,Success
C11432,XPS 13 9350,6907ZW2,,1/15/2020 12:11:45 PM,Success
C02682,Optiplex 3040,27B3PD2,brs18013,1/20/2020 11:44:27 AM,Success
C09961,Latitude E6440,7718m12,jmd09021,6/11/2019 12:18:19 PM,Success
C09962,Latitude E6430,4D9XNX1,jmd09021,12/30/2019 11:12:27 AM,Success
C09963,Latitude 5450,23YNM72,jem06014,1/29/2020 4:21:19 PM,Success
C09964,Latitude E5430,2YTWJX1,jem06014,6/25/2019 2:29:48 PM,Success
C09966,Latitude E5430,8XTWJX1,jem06014,2/7/2020 10:29:43 AM,Success
C04251,Latitude 5285,1VYM2H2,jwn17002,10/24/2019 1:39:07 PM,Success
D04904,Latitude 7480,2343QN2,grb02004,12/22/2019 11:44:18 PM,Success
D07839,Optiplex 7060,HNQK7X2,mbg10002,2/9/2020 5:32:57 PM,Success
D07840,Optiplex 7060,HNQL7X2,mbg10002,12/31/2019 10:52:56 AM,Success
D07842,Optiplex 7060,HNQN7X2,mbg10002,2/9/2020 3:06:32 AM,Success
D07838,Optiplex 7060,HNPQ7X2,mbg10002,2/7/2020 3:34:05 PM,Success
D07841,Optiplex 7060,HNQM7X2,mbg10002,2/9/2020 8:08:38 AM,Success
D07837,Optiplex 7060,HNPP7X2,jls02021,2/9/2020 4:57:16 PM,Success
D07622,Latitude 7490,DQ7NPV2,jpc95002,2/6/2020 2:20:58 PM,Success
D07613,Latitude 7490,C02YPV2,jpc95002,2/7/2020 4:32:23 PM,Success
D07616,Latitude 7490,5T6PPV2,jpc95002,2/6/2020 4:40:38 PM,Success
D07618,Latitude 7490,9DFNPV2,jpc95002,1/28/2020 1:50:05 PM,Success
D00369,Optiplex 7020,5FBFF42,shl02006,1/29/2020 11:34:19 AM,Success
D07827,Optiplex 7060,B7VM7X2,mbv02002,2/7/2020 4:16:17 PM,Success
D07821,Optiplex 7060,B7TM7X2,cem13017,2/7/2020 6:17:17 PM,Success
D07828,Optiplex 7060,B7VN7X2,vgm07001,2/6/2020 3:00:25 AM,Success
D07825,Optiplex 7060,B7VK7X2,klr05004,2/8/2020 8:35:07 PM,Success
D07824,Optiplex 7060,B7TQ7X2,anp05007,2/7/2020 12:03:05 PM,Success
D07823,Optiplex 7060,B7TP7X2,,2/6/2020 10:51:34 AM,Success
D07826,Optiplex 7060,B7VL7X2,anp05007,2/9/2020 7:06:38 PM,Success
D07822,Optiplex 7060,B7TN7X2,anp05007,2/7/2020 1:37:05 PM,Success
D00953,Latitude E5450,B7YNM72,kma02008,2/4/2020 3:57:28 PM,Success
C03754,Optiplex 7010,BCVJL02,yal14015,1/21/2020 11:44:20 PM,Success
C09968,Macbook Pro A1990,C02YPJ3LBCJ,meb99003,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D07624,Latitude 7490,396RPV2,jpc95002,2/10/2020 1:43:54 AM,Success
D07609,Latitude 7490,1BFNPV2,jpc95002,2/7/2020 11:24:43 PM,Success
D07623,Latitude 7490,J16RPV2,jpc95002,2/9/2020 7:13:27 PM,Success
D07610,Latitude 7490,H12NPV2,jpc95002,1/31/2020 8:33:15 AM,Success
D07611,Latitude 7490,JLNNPV2,jpc95002,2/10/2020 12:53:56 AM,Success
D00834,Optiplex 9020,91LH382,jrp00009,2/7/2020 3:40:56 AM,Success
D07829,Optiplex 7060,86XC7X2,mag02021,1/21/2020 2:56:39 PM,Success
C10681,Surface Pro 6,025515391453,kmh06008,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C10682,Surface Pro 6,013800291453,ank17013,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D02155,Optiplex 7040,DJNZHB2,mas07022,6/17/2019 1:15:48 PM,Success
D01311,Optiplex 7040,6C12GB2,lgm02001,2/11/2020 1:16:25 AM,Success
C00621,MacBook Pro A1502,C17QJ7TNFVH5,msg02002,2/10/2020 10:24:14 AM,Success
C09969,Optiplex 7020,BM4NM22,yal14015,12/19/2019 4:32:04 PM,Success
W65330,Optiplex 9020,CF6DF42,yal14015,6/17/2019 11:07:22 AM,Success
D07830,Optiplex 7060,86XD7X2,mhk12003,7/16/2019 5:44:56 PM,Success
D02628,Optiplex 7040,1GH1ND2,lgm02001,2/9/2020 5:55:05 PM,Success
D06489,Latitude 3590,2BMBXR2,lgm02001,11/27/2019 8:25:08 AM,Success
D07626,Latitude 7490,2SCRPV2,jpc95002,2/10/2020 1:56:31 AM,Success
D07620,Latitude 7490,FV1YPV2,jpc95002,2/5/2020 2:48:50 PM,Success
D07619,Latitude 7490,1Z8ZPV2,jpc95002,2/7/2020 7:37:11 AM,Success
D07625,Latitude 7490,946RPV2,jpc95002,1/24/2020 12:28:42 PM,Success
D07621,Latitude 7490,802YPV2,jpc95002,1/21/2020 1:49:21 PM,Success
D00247,Latitude E6440,4WBXQ32,vig11002,2/6/2020 5:06:17 PM,Success
D04679,Optiplex 7050,FZJ9MN2,cps02004,10/9/2019 8:13:44 AM,Success
C09970,MacBook Pro A1989,C02YV2N3LVDL,llo04001,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D07617,Latitude 7490,HDFNPV2,jpc95002,2/9/2020 6:56:05 PM,Success
D07615 ,Latitude 7490,FS7NPV2,jpc95002,2/7/2020 3:41:27 PM,Success
D07614 ,Latitude 7490,8XMQPV2 ,jpc95002,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D07612 ,Latitude 7490,FX8ZPV2 ,jpc95002,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C07041,XPS 13 9370,46QSRN2,jwn17002,12/10/2019 1:35:38 PM,Success
W58248,Precision 3620,HHZGTW1,mrd13009,1/19/2020 6:40:05 AM,Success
C05202,"Macbook Air A1465 (11"")",C1MV52FHJ1WV,rip02001,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D00212,Latitude E7440,1HYRK12,edb08003,2/6/2020 3:20:17 PM,Success
C10669,Microsoft Surface Laptop,SP003973691857,mar02014,12/16/2019 4:23:28 PM,Success
C10670,Microsoft Surface Laptop,SP008134591857,ryk02001,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D07833,Latitude 5590,9NHLZW2,kjr08006,2/5/2020 10:02:21 AM,Success
C09971,Optiplex 7010,9ZNQJ02,djr02006,1/21/2020 3:46:16 PM,Success
D04412,Optiplex 7050,7FPPXM2,crd02001,10/6/2019 1:28:04 PM,Success
D07855,Optiplex 7060,9TFZ7X2,pap02008,11/7/2019 2:09:18 AM,Success
D07853,Optiplex 7020,9TFVDX2,tal17005,1/30/2020 12:29:41 AM,Success
